q_num,q_id,subject,correct_answer,is_comprehension,paper_id,date,year,month,day,shift,question_img_path,option1_path,option2_path,option3_path,option4_path
11,715053776,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q011_715053776/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q011_715053776/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q011_715053776/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q011_715053776/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q011_715053776/option4.png
12,715053777,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q012_715053777/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q012_715053777/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q012_715053777/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q012_715053777/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q012_715053777/option4.png
13,715053778,CDP,3,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q013_715053778/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q013_715053778/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q013_715053778/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q013_715053778/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q013_715053778/option4.png
14,715053779,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q014_715053779/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q014_715053779/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q014_715053779/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q014_715053779/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q014_715053779/option4.png
15,715053780,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q015_715053780/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q015_715053780/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q015_715053780/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q015_715053780/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q015_715053780/option4.png
16,715053781,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q016_715053781/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q016_715053781/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q016_715053781/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q016_715053781/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q016_715053781/option4.png
17,715053782,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q017_715053782/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q017_715053782/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q017_715053782/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q017_715053782/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q017_715053782/option4.png
18,715053783,CDP,3,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q018_715053783/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q018_715053783/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q018_715053783/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q018_715053783/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q018_715053783/option4.png
19,715053784,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q019_715053784/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q019_715053784/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q019_715053784/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q019_715053784/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q019_715053784/option4.png
20,715053785,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q020_715053785/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q020_715053785/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q020_715053785/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q020_715053785/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q020_715053785/option4.png
21,715053786,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q021_715053786/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q021_715053786/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q021_715053786/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q021_715053786/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q021_715053786/option4.png
22,715053787,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q022_715053787/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q022_715053787/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q022_715053787/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q022_715053787/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q022_715053787/option4.png
23,715053788,CDP,3,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q023_715053788/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q023_715053788/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q023_715053788/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q023_715053788/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q023_715053788/option4.png
24,715053789,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q024_715053789/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q024_715053789/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q024_715053789/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q024_715053789/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q024_715053789/option4.png
25,715053790,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q025_715053790/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q025_715053790/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q025_715053790/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q025_715053790/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q025_715053790/option4.png
26,715053791,CDP,2,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q026_715053791/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q026_715053791/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q026_715053791/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q026_715053791/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q026_715053791/option4.png
27,715053792,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q027_715053792/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q027_715053792/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q027_715053792/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q027_715053792/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q027_715053792/option4.png
28,715053793,CDP,4,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q028_715053793/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q028_715053793/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q028_715053793/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q028_715053793/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q028_715053793/option4.png
29,715053794,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q029_715053794/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q029_715053794/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q029_715053794/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q029_715053794/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q029_715053794/option4.png
30,715053795,CDP,1,False,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q030_715053795/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q030_715053795/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q030_715053795/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q030_715053795/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/CDP/2024-May-20-Shift1_Q030_715053795/option4.png
31,715053797,Telugu,3,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q031_715053797/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q031_715053797/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q031_715053797/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q031_715053797/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q031_715053797/option4.png
32,715053798,Telugu,1,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q032_715053798/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q032_715053798/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q032_715053798/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q032_715053798/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q032_715053798/option4.png
33,715053799,Telugu,4,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q033_715053799/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q033_715053799/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q033_715053799/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q033_715053799/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q033_715053799/option4.png
34,715053800,Telugu,2,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q034_715053800/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q034_715053800/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q034_715053800/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q034_715053800/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q034_715053800/option4.png
35,715053801,Telugu,1,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q035_715053801/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q035_715053801/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q035_715053801/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q035_715053801/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q035_715053801/option4.png
36,715053803,Telugu,2,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q036_715053803/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q036_715053803/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q036_715053803/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q036_715053803/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q036_715053803/option4.png
37,715053804,Telugu,4,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q037_715053804/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q037_715053804/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q037_715053804/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q037_715053804/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q037_715053804/option4.png
38,715053805,Telugu,3,True,2024-May-20-Shift1,20 May 2024,2024,May,20,1,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q038_715053805/question.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q038_715053805/option1.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q038_715053805/option2.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q038_715053805/option3.png,/mnt/c/Users/ymano/Universe/coworker/TET Preparation/question_bank/Telugu/2024-May-20-Shift1_Q038_715053805/option4.png
